pair_id,omega,sentence_id,text,tok_count,content_tok_count,phi_pre,phi_post,loss_u,class,class_cycle4
D03_0118,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0053,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy (primitive at best!) and stopped when a lesion on my neck started enlarging--they said it was not CA but stopped the treatments....,48,21,0.60625,0.305417,0.300833,degenerativo,degenerativo
D03_0119,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0054,Remember the old shoe sizing machines that was a form of radiation xray?,14,8,0.556,0.286714,0.269286,ambiguo,preservativo
D03_0120,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0055,That too was stopped.,5,2,0.328,0.0,0.34,degenerativo,degenerativo
D03_0121,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0056,Don't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks--there can be no doubts about the effects of radiation in Chernobyl.......,32,14,0.60625,0.32,0.28625,degenerativo,degenerativo
D03_0122,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0057,The Chernobyl Children's Project (http://www.adiccp.org/home/default.asp) offers several ways to help the children of that region.,19,10,0.584421,0.278105,0.306316,degenerativo,degenerativo
D03_0123,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0058,"One of them is the Rest and Recuperation Program, wherein a child can come to the US for a few weeks in the summer.",26,10,0.569231,0.27,0.299231,degenerativo,degenerativo
D03_0124,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059,"Even a little time spent receiving wholesome, uncontaminated food, good medical care, etc. can add years to their lives.",23,15,0.720522,0.427478,0.293043,degenerativo,degenerativo
D03_0125,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0060,S. and I have an acquaintance who has hosted several of these children for many years; to see these little ones breaks the heart.,26,13,0.65,0.368077,0.281923,degenerativo,ambiguo
D03_0126,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0061,"The urge to protect and gather them all in is almost overwhelming, and makes me more grateful for the blessings I have.",24,11,0.596833,0.306417,0.290417,degenerativo,degenerativo
D03_0127,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0062,"Take care, my friend, Linda",7,4,0.472,0.127714,0.344286,degenerativo,degenerativo
D03_0128,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0063,I'm sorry to say Elena's story has been revealed to be a fake.,16,6,0.4425,0.146875,0.295625,degenerativo,degenerativo
D03_0129,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0001,What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,33,17,0.660606,0.376061,0.284545,degenerativo,degenerativo
D03_0130,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0002,"Because the US and Pakistan have managed to capture or kill about 2/3s of the top 25 al-Qaeda commanders, the middle managers are not in close contact with al-Zawahiri and Bin Laden.",40,19,0.6325,0.33,0.3025,degenerativo,degenerativo
D03_0131,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0003,The tape was a way to signal priorities.,9,4,0.407111,0.104889,0.302222,degenerativo,degenerativo
D03_0132,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0004,"These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military ""president"" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda.",42,18,0.6,0.284286,0.315714,degenerativo,degenerativo
D03_0133,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0005,Musharraf has been trying to purge his officer corps of the substantial number of al-Qaeda sympathizers.,19,10,0.584421,0.296526,0.287895,degenerativo,degenerativo
D03_0134,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0006,"His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad, as well as nearly 500 other al-Qaeda operatives, over 400 of whom the Pakistanis have turned over to the US.",39,21,0.676923,0.391795,0.285128,degenerativo,degenerativo
D03_0135,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0007,"Musharraf held elections in October of 2002, in which center-right parties did well, but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition, MMA.",36,19,0.669444,0.37,0.299444,degenerativo,degenerativo
D03_0136,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0008,"MMA also captured the Northwest Frontier Province, which probably shelters Bin Laden and al-Zawahiri, and is in a joint government of Baluchistan Province, also on the Afghanistan border.",34,19,0.691176,0.393529,0.297647,degenerativo,degenerativo
D03_0137,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0009,"If al-Qaeda can kill Musharraf or instigate a military coup against him by Islamist junior officers, they can hope to catapult the MMA to power as political allies and hosts.",34,17,0.65,0.364118,0.285882,degenerativo,degenerativo
D03_0138,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0010,"They would thereby gain control of a major base for terrorist operations, which is also a nuclear power.",20,10,0.578,0.288,0.29,degenerativo,degenerativo
D03_0139,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0011,"All this is highly unlikely, as with most al-Qaeda crackpot schemes.",15,7,0.494667,0.164667,0.33,degenerativo,degenerativo
D03_0140,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0012,But so was it unlikely that a small group of Arab mujahidin would virtually take over Afghanistan.,18,9,0.554,0.279556,0.274444,ambiguo,preservativo
D03_0141,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0013,Response: The US must do whatever it can to strengthen the legitimacy of the Pakistani government.,18,7,0.476222,0.165667,0.310556,degenerativo,degenerativo
D03_0142,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0014,"On the one hand, it should pressure Musharraf to take off his uniform and run for president in a fair election, and to repeal the contentious ""Legal Framework Order"" that essentially perpetuates his dictatorship.",39,17,0.605128,0.295641,0.309487,degenerativo,degenerativo
D03_0143,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0015,"On the other, restrictions should be lifted on the mainstream Muslim League-N and Pakistan People's Party, who can defeat the MMA in fair elections if not hogtied by the secret police.",37,17,0.621622,0.322703,0.298919,degenerativo,degenerativo
D03_0144,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0016,"On the other hand, the US should strong-arm India and Pakistan into a final settlement of the Kashmir issue.",23,11,0.598783,0.29487,0.303913,degenerativo,degenerativo
D03_0145,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0017,Al-Zawahiri attempted to use Musharraf's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow.,26,13,0.65,0.368077,0.281923,degenerativo,ambiguo
D03_0146,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0018,"The Kashmir issue generates far more terrorism, and even the threat of nuclear war, than Iraq ever did.",21,12,0.64,0.345714,0.294286,degenerativo,degenerativo
D03_0147,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0019,2) Target Israel and encourage the worst elements of the Palestinians by playing on the iron fist policies of the Sharon government.,24,12,0.626,0.341833,0.284167,degenerativo,degenerativo
D03_0148,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0020,"Response: The US has succeeded in politically isolating Hamas, and started the process of cutting off its funding.",21,10,0.573333,0.264762,0.308571,degenerativo,degenerativo
D03_0149,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0021,This terrorist organization can now only pull off far less sophisticated bombings and attacks.,15,10,0.634667,0.381333,0.253333,ambiguo,preservativo
D03_0150,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0022,It should continue to be defanged.,7,2,0.272,0.0,0.337143,ambiguo,degenerativo
D03_0151,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0023,"But Sharon's iron fist is simply not working as a means of establishing general peace, and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza.",44,23,0.665909,0.398409,0.2675,ambiguo,preservativo
D03_0152,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0024,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",49,26,0.671429,0.399592,0.271837,ambiguo,preservativo
D03_0153,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0025,"Israel owes the United States at least this much, in this crisis, to cease militarily unnecessary provocations and establish genuine peace.",24,15,0.7135,0.4335,0.28,ambiguo,ambiguo
D03_0154,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0026,"3) Make Iraq another Afghanistan, using the Republican Right's own tactics against them.",17,8,0.521412,0.200235,0.321176,degenerativo,degenerativo
D03_0155,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0027,"Response: Iraq is actually hostile territory for al-Qaeda, and without Iraqi sympathizers it cannot succeed there.",22,11,0.602,0.283364,0.318636,degenerativo,degenerativo
D03_0156,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0028,"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives, the US may be able to get Iraqis on its side, so that they turn in the foreigners.",32,14,0.60625,0.309062,0.297187,degenerativo,degenerativo
D03_0157,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0029,"Certainly, the Shiites already hate al-Qaeda and would help; likewise the Kurds.",17,9,0.562588,0.229647,0.332941,degenerativo,degenerativo
D03_0158,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0030,"The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.",22,11,0.602,0.283364,0.318636,degenerativo,degenerativo
D03_0159,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0031,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.,27,16,0.714815,0.447778,0.267037,ambiguo,preservativo
D03_0160,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0032,"We need an FDR in Iraq, not a Ronald Reagan.",12,5,0.423667,0.097833,0.325833,degenerativo,degenerativo
D03_0161,Omega_B,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0033,"Of course, the sooner the US soldiers can be withdrawn in favor of less-provocative local or international forces, the better.",25,12,0.624,0.31,0.314,degenerativo,degenerativo
D03_0162,Omega_C,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0034,Getting the Spanish out of Iraq isn't nearly as good a rallying cry for al-Qaeda in the Arab world as getting the Americans and British out.,30,16,0.673333,0.4,0.273333,ambiguo,preservativo
D03_0163,Omega_A,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0035,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",50,25,0.65,0.374,0.276,ambiguo,preservativo
D03_0164,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0001,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president.,16,11,0.66125,0.4125,0.24875,ambiguo,preservativo
D03_0165,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0002,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",35,17,0.64,0.362857,0.277143,ambiguo,ambiguo
D03_0166,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0003,Let's just remember a seminal Bush moment in 1999:,11,6,0.501818,0.221818,0.28,ambiguo,ambiguo
D03_0167,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0004,' Bush fails reporter's pop quiz on international leaders,10,7,0.598,0.338,0.26,ambiguo,preservativo
D03_0168,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0005,"November 5, 1999",4,1,0.211,0.0,0.38,ambiguo,degenerativo
D03_0169,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0006,Web posted at: 3:29 p.m. EST (2029 GMT),11,5,0.438182,0.080909,0.357273,degenerativo,degenerativo
D03_0170,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0007,WASHINGTON (CNN) --,5,2,0.328,0.0,0.48,degenerativo,degenerativo
D03_0171,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0008,"Texas Gov. George W. Bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots, but President Bill Clinton says Bush ""should, and probably will, pick up"" those names.",42,23,0.683333,0.385476,0.297857,degenerativo,degenerativo
D03_0172,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0009,"The front-runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller, a political reporter for WHDH-TV in Boston.",33,19,0.70303,0.41697,0.286061,degenerativo,degenerativo
D03_0173,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0010,Bush,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0174,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0011,"Hiller asked Bush to name the leaders of Chechnya, Taiwan, India and Pakistan.",16,9,0.57375,0.2625,0.31125,degenerativo,degenerativo
D03_0175,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0012,"Bush was only able to give a partial response to the query on the leader of Taiwan, referring to Taiwanese President Lee Teng-hui simply as ""Lee.""",32,17,0.671875,0.366875,0.305,degenerativo,degenerativo
D03_0176,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0013,He could not name the others.,7,2,0.272,0.0,0.337143,ambiguo,degenerativo
D03_0177,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0014,"""Can you name the general who is in charge of Pakistan?""",14,4,0.356,0.0,0.362143,degenerativo,degenerativo
D03_0178,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0015,"Hiller asked, inquiring about Gen. Pervaiz Musharraf, who seized control of the country October 12.",18,10,0.592889,0.287889,0.305,degenerativo,degenerativo
D03_0179,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0016,"""Wait, wait, is this 50 questions?"" asked Bush.",14,5,0.406,0.0,0.426429,degenerativo,degenerativo
D03_0180,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0017,"Hiller replied: ""No, it's four questions of four leaders in four hot spots."" . . .",22,6,0.442909,0.026545,0.416364,degenerativo,degenerativo
D03_0181,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0018,"Bush, in answering the question about the leader of Pakistan, also said: ""The new Pakistani general, he's just been elected -- not elected, this guy took over office.",36,16,0.611111,0.27,0.341111,degenerativo,degenerativo
D03_0182,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0019,"It appears this guy is going to bring stability to the country and I think that's good news for the subcontinent.""",24,10,0.567667,0.271,0.296667,degenerativo,degenerativo
D03_0183,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0020,Gore released a statement Friday taking Bush to task for his comments on Pakistan's recent coup.,18,11,0.631778,0.374,0.257778,ambiguo,preservativo
D03_0184,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0021,"""I find it troubling that a candidate for president in our country -- the world's oldest democracy -- would characterize the military takeover as ""good news,"" Gore said.",34,15,0.608824,0.272941,0.335882,degenerativo,degenerativo
D03_0185,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0022,"""Further, I find it even more disturbing that he made these comments about a nation that just last year tested nuclear weapons -- shortly after voicing his public opposition to the Comprehensive Test Ban Treaty.",38,22,0.705263,0.425263,0.28,ambiguo,ambiguo
D03_0186,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0023,A spokesman for President Clinton also criticized Bush's comments.,11,7,0.565455,0.299091,0.266364,ambiguo,preservativo
D03_0187,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0024,"""It is very dangerous for this country to condone the overthrow of democratically elected governments,"" said David Leavy, spokesman for the National Security Council.",29,15,0.662069,0.34931,0.312759,degenerativo,degenerativo
D03_0188,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0025,"Not only did Bush not know who General Pervez Musharraf was, he seems to have confused coup-making with ""taking office,"" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military, then the world's strongest supporter of the Taliban, would bring ""stability!""",66,31,0.628788,0.316212,0.312576,degenerativo,degenerativo
D03_0189,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0026,"Musharraf made his coup in part because of the military's anger over Prime Minister Nawaz Sharif's willingness to back down from confronting India over Kashmir, so that he explicitly came to power as a warmonger.",39,19,0.641026,0.366154,0.274872,ambiguo,preservativo
D03_0190,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0027,I can't tell you how ominous I found Bush's performance in that interview.,16,7,0.48625,0.2,0.28625,degenerativo,degenerativo
D03_0191,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0028,"I still remember him stuttering about ""the General,"" unable to remember Musharraf's name.",18,8,0.515111,0.174,0.341111,degenerativo,degenerativo
D03_0192,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0029,"He obviously had no idea what he was talking about, though he demonstrated a number of ill-fated instincts.",22,9,0.538364,0.222,0.316364,degenerativo,degenerativo
D03_0193,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0030,"He obviously liked authoritarian rule better than democracy, equating dictatorship with ""stability.""",16,9,0.57375,0.240625,0.333125,degenerativo,degenerativo
D03_0194,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0031,"And, he didn't think he needed to know anything about South Asia, with its nuclear giants and radical religious politics--the latter a dire security threat to the US.",34,15,0.608824,0.303824,0.305,degenerativo,degenerativo
D03_0195,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0032,He couldn't tell when things were becoming more unstable as opposed to less.,15,8,0.541333,0.268,0.273333,ambiguo,preservativo
D03_0196,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0033,"Musharraf went on to play nuclear brinkmanship with India in 2002, risking war twice that year.",18,11,0.631778,0.354556,0.277222,ambiguo,ambiguo
D03_0197,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0034,"Although Musharraf did turn against the Taliban after September 11, under extreme duress from the US, elements of his military continued to support radical Islamism and have recently been implicated in assassination attempts on Musharraf himself.",39,18,0.623077,0.335385,0.287692,degenerativo,degenerativo
D03_0198,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0035,"This was the body that Bush proclaimed was bringing ""stability"" to the region in fall of 1999.",20,7,0.473,0.143,0.33,degenerativo,degenerativo
D03_0199,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0036,"So, one answer to Bush's charge about Edwards is that if it had any merit, Bush should have declined to run himself.",26,10,0.569231,0.256538,0.312692,degenerativo,degenerativo
D03_0200,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0037,Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then.,18,11,0.631778,0.374,0.257778,ambiguo,preservativo
D03_0201,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0038,"Indeed, given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US, one might well argue that Edwards knows more now than Bush does.",39,22,0.694872,0.422564,0.272308,ambiguo,preservativo
D03_0202,Omega_A,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0039,"This is what Edwards' campaign literature said about his positions: ""Edwards believes that the U.S. must be an active leader to help resolve conflicts, from reducing tensions between India and Pakistan to the peace process in Northern Ireland.",43,21,0.64186,0.352558,0.289302,degenerativo,degenerativo
D03_0203,Omega_B,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0040,"Edwards is a strong supporter of Israel, and believes that the U.S. has a vital role in promoting peace between the Israelis and the Palestinians.""",28,13,0.625,0.327143,0.297857,degenerativo,degenerativo
D03_0204,Omega_C,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0041,I don't see Bush doing any of this.,10,3,0.318,0.0,0.32,degenerativo,degenerativo
D03_0205,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0001,From Friday's Daily Star,5,3,0.468,0.228,0.24,ambiguo,preservativo
D03_0206,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0002,By Juan Cole,3,2,0.490667,0.260667,0.23,ambiguo,preservativo
D03_0207,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0003,"Friday, June 04, 2004",6,2,0.293333,0.0,0.396667,degenerativo,degenerativo
D03_0208,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0004,"As the American public gradually wearies of the Iraq crisis, some have begun worrying that the war could blow back on the US by creating the conditions for anti-American terrorism.",32,16,0.65,0.373125,0.276875,ambiguo,ambiguo
D03_0209,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0005,"Israel, however, is much closer to Iraq and is likely to suffer from Iraqi instability much more acutely than will the United States.",26,14,0.676923,0.387308,0.289615,degenerativo,degenerativo
D03_0210,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0006,"Ironically, among the strongest proponents of war in Iraq were Israeli Prime Minister Ariel Sharon and his neoconservative supporters in the US.",24,13,0.655167,0.37725,0.277917,ambiguo,ambiguo
D03_0211,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0007,"Have they, however, actually weakened Israeli security?",10,5,0.458,0.098,0.36,degenerativo,degenerativo
D03_0212,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0008,The biggest threat Israel faces is not from conventional armies but from the asymmetrical tactics of Palestinian national liberation movements.,21,12,0.64,0.379048,0.260952,ambiguo,preservativo
D03_0213,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0009,The derailing of the Oslo peace process by the hard-line policies of Sharon and the Palestinian intifada has encouraged suicide bombings.,24,13,0.655167,0.37725,0.277917,ambiguo,ambiguo
D03_0214,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0010,"This, in turn, has discouraged international investment in Israel and has made it less likely that immigrants to the country will actually remain there.",27,13,0.637037,0.34037,0.296667,degenerativo,degenerativo
D03_0215,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0011,"Although Israel withdrew from Lebanese territory in May 2000, the radical Lebanese Shiite party, Hizbullah, has not been mollified.",23,11,0.598783,0.279652,0.31913,degenerativo,degenerativo
D03_0216,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0012,"It is estimated to have some 5,000 armed fighters, and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms, a sliver of Syrian territory that Israel annexed after the 1967 war.",41,18,0.607317,0.317561,0.289756,degenerativo,degenerativo
D03_0217,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0013,"Any thorough assessment of the impact of the Iraq war and its aftermath on Israel's security environment must, therefore, closely examine its likely effect on the conduct of asymmetrical warfare.",34,17,0.65,0.364118,0.285882,degenerativo,degenerativo
D03_0218,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0014,"Although it is often alleged (without much evidence) that Saddam Hussein gave money to the families of Palestinian suicide bombers and so encouraged asymmetrical warfare, it is not clear that he actually posed a danger to Israel.",41,21,0.658537,0.37122,0.287317,degenerativo,degenerativo
D03_0219,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0015,The Palestinians who have been willing to kill themselves to end the Israeli occupation of the Gaza Strip and the West Bank were not driven by economic considerations.,29,13,0.613793,0.338966,0.274828,ambiguo,preservativo
D03_0220,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0016,Saddam never did anything practical to help the Palestinians.,10,6,0.528,0.253,0.275,ambiguo,preservativo
D03_0221,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0017,"At some points, as in the late 1980s, he reportedly made behind-the-scenes overtures to the Israelis to arrive at some sort of a deal.",31,11,0.548387,0.215161,0.333226,degenerativo,degenerativo
D03_0222,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0018,He did not allow Palestinian radicals to launch operations against Israel from Iraq.,14,7,0.506,0.226,0.28,ambiguo,ambiguo
D03_0223,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0019,"By the late 1990s, Iraq had no nuclear or biological weapons program, and had destroyed its chemical weapons stockpiles.",22,12,0.633818,0.337909,0.295909,degenerativo,degenerativo
D03_0224,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0020,Its ramshackle army had virtually collapsed before the American invasion in 2003.,13,6,0.467077,0.179385,0.287692,degenerativo,degenerativo
D03_0225,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0021,"If it is hard to see how Baathist Iraq posed any real threat to Israel, it is not so difficult to see a menace in the current instability.",30,15,0.65,0.371667,0.278333,ambiguo,ambiguo
D03_0226,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0022,The bungling of post-war Iraq by the Bush administration created a weak and failed state.,16,9,0.57375,0.30625,0.2675,ambiguo,preservativo
D03_0227,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0023,"Armed militias, many staffed by former Iraqi military men with substantial training and experience, have proliferated.",19,12,0.658105,0.367579,0.290526,degenerativo,degenerativo
D03_0228,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0024,"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq, whose 15,000-strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards.",35,18,0.66,0.377143,0.282857,degenerativo,ambiguo
D03_0229,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0025,Anti-Israeli and pro-Palestinian feeling is strong among several major Iraqi ideological groups and currents.,15,10,0.634667,0.381333,0.253333,ambiguo,preservativo
D03_0230,Omega_B,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0026,"The more radical Shiites, who generally follow the theocratic notions of Iran's Ayatollah Ruhollah Khomeini, routinely chant and demonstrate against Israel.",25,15,0.708,0.426,0.282,degenerativo,ambiguo
D03_0231,Omega_C,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0027,"They vehemently protested the Israeli assassination of Sheikh Ahmed Yassin, the leader of Hamas, last March.",19,11,0.621263,0.322842,0.298421,degenerativo,degenerativo
D03_0232,Omega_A,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0028,"Worse for Israel, the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani, who wields enormous moral authority over Iraqi Shiites.",29,18,0.734483,0.461379,0.273103,ambiguo,preservativo
