task_id,split,omega,source1,source2,sentence1,sentence2,gold_score,gold_score_norm
A01_0264,dev,Omega_C,none,none,The lamb is looking at the camera.,A cat looking at the camera.,0.8,0.16
A01_0265,dev,Omega_A,none,none,A red double decker bus on a crowded street.,A double decker bus on a city street.,4.2,0.84
A01_0266,dev,Omega_B,none,none,A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.,3.6,0.72
A01_0267,dev,Omega_C,none,none,The udders of a dairy cow that is standing in a pasture near a large building.,The black and brown cow is standing on the green grass.,2.0,0.4
A01_0268,dev,Omega_A,none,none,A woman posing by a pillar with a U2 sign.,"a woman is standing by a pillar where ""u2"" is written.",4.2,0.84
A01_0269,dev,Omega_B,none,none,One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.,3.4,0.68
A01_0270,dev,Omega_C,none,none,A black train moves down the tracks.,A mostly black train on a track.,3.0,0.6
A01_0271,dev,Omega_A,none,none,The brown dog is resting his head on a white pillow.,A tan dog is lying on a couch and has its head on a white pillow.,3.4,0.68
A01_0272,dev,Omega_B,none,none,The black and brown cow is looking at the camera.,The black and white bull is looking at the camera.,3.6,0.72
A01_0273,dev,Omega_C,none,none,A smiling woman holding a small baby.,Two smiling women holding a baby.,3.0,0.6
A01_0274,dev,Omega_A,none,none,Two airplanes in the sky.,A plane in the sky.,2.4,0.48
A01_0275,dev,Omega_B,none,none,A coal train traveling down the tracks.,An old train sits idle on the tracks.,2.0,0.4
A01_0276,dev,Omega_C,none,none,A cat looking at the camera.,"A grey, black, and white cat looking at the camera.",4.0,0.8
A01_0277,dev,Omega_A,none,none,World news headlines displayed on a large screen.,A man dressed for a race relaxes.,0.0,0.0
A01_0278,dev,Omega_B,none,none,Two women posing with a baby.,Two smiling women holding a baby.,4.0,0.8
A01_0279,dev,Omega_C,none,none,A red and white plane flying on a sunny day.,Red and white plane flying through the air.,4.2,0.84
A01_0280,dev,Omega_A,none,none,A black and white photo of an old train station.,A black and white photo of a cat sitting on a sofa.,0.8,0.16
A01_0281,dev,Omega_B,none,none,A bicycle in front of some ruins.,A pink bicycle is in front of a building.,2.2,0.44
A01_0282,dev,Omega_C,none,none,Red double decker bus on side of street.,A red double decker bus on a crowded street.,3.8,0.76
A01_0283,dev,Omega_A,none,none,A bus drives down a busy road.,A green bus drives down a road.,3.2,0.64
A01_0284,dev,Omega_B,none,none,An elderly Asian couple pose with a yawning baby at a dinner table.,An older Asian couple poses with a newborn baby at the dinner table.,4.4,0.88
A01_0285,dev,Omega_C,none,none,Brown and white ducks walking on green grass.,A red and white plane flying on a sunny day.,0.0,0.0
A01_0286,dev,Omega_A,none,none,People ride mopeds in an urban setting.,People riding horses in a fenced area.,1.4,0.28
A01_0287,dev,Omega_B,none,none,Large silver locomotive engine in a shed.,The silver train is parked in a station.,2.6,0.52
A01_0288,dev,Omega_C,none,none,Two people sitting on a large motorcycle.,Two eagles sitting on a long branch.,0.4,0.08
A01_0289,dev,Omega_A,none,none,A scantily clad woman is standing next to a car.,A yellow and orange bird hold on to the side of a cage.,0.0,0.0
A01_0290,dev,Omega_B,none,none,Several televisions are on the floor and stacked up on top of one another.,"Three televisions, on on the floor, the other two on a box.",3.2,0.64
A01_0291,dev,Omega_C,none,none,Sheep are grazing in a grassy field near a stand of trees.,Sheep are grazing in the field in front of a line of trees.,4.6,0.92
A01_0292,dev,Omega_A,none,none,The small dog protects its owner.,The back of the stop sign is adorned with stickers.,0.0,0.0
A01_0293,dev,Omega_B,none,none,Children looking a sheep.,Child milking a cow outside.,0.6,0.12
A01_0294,dev,Omega_C,none,none,A black-and-white photo of a loveseat.,A black and white photo of an old train station.,1.2,0.24
A01_0295,dev,Omega_A,none,none,the back of a stop sign with many stickers on it.,The back of a sign with stickers on.,3.8,0.76
A01_0296,dev,Omega_B,none,none,Living room or den with large screen television.,Living room with tan furniture and flat screen television.,3.2,0.64
A01_0297,dev,Omega_C,none,none,Two women sitting in lawn chairs.,Two women are sitting in a cafe.,2.6,0.52
A01_0298,dev,Omega_A,none,none,A doubly decker red bus driving down the road.,A red double decker bus driving down a street.,5.0,1.0
A01_0299,dev,Omega_B,none,none,The black bird is sitting on the ground.,The back of a pig under a tree with a cow in the background.,0.0,0.0
A01_0300,dev,Omega_C,none,none,A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,3.2,0.64
A01_0301,dev,Omega_A,none,none,A cat sleeps on purple sheet.,A black and white cat sleeps on a purple blanket.,4.0,0.8
A01_0302,dev,Omega_B,none,none,A close-up of a cat on a cream sofa.,A close-up of a horse.,1.2,0.24
A01_0303,dev,Omega_C,none,none,A kitchen with wood cabinets and dining table.,A kitchen with wooden cabinets and furniture.,4.4,0.88
A01_0304,dev,Omega_A,none,none,A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,3.4,0.68
A01_0305,dev,Omega_B,none,none,Two boys sit facing one another at a table and one points at the other.,Two people sit facing each other at a table as one points at the other.,4.4,0.88
A01_0306,dev,Omega_C,none,none,Two white dogs are swimming in the water.,The birds are swimming in the water.,0.8,0.16
A01_0307,dev,Omega_A,none,none,Large white cruise ship floating on water.,Large cruise ship floating on the water.,4.6,0.92
A01_0308,dev,Omega_B,none,none,Two bald eagles perched on a branch.,Two eagles are perched on a branch.,4.2,0.84
A01_0309,dev,Omega_C,none,none,A backpack standing beside a train.,A social gathering of people in a restaurant.,0.0,0.0
A01_0310,dev,Omega_A,none,none,The bird is sitting on the branch.,A red and brown bird is perched on branches.,3.2,0.64
A01_0311,dev,Omega_B,none,none,A group of peoples posing in fur hats.,A group of cyclists in green and white with spectators looking on.,0.0,0.0
A01_0312,dev,Omega_C,none,none,Black domestic cat lying on brown table.,A grey cat laying on a dining table.,1.4,0.28
A01_0313,dev,Omega_A,none,none,Four children looking at barn animals.,Children looking a sheep.,3.2,0.64
A01_0314,dev,Omega_B,none,none,A black and white cat playing with a wool basket.,A black and white cat lying on a blanket.,1.8,0.36
A01_0315,dev,Omega_C,none,none,Two men on boat floating on the water.,A wooden yacht on the ocean.,1.8,0.36
A01_0316,dev,Omega_A,none,none,A man doing a wheelie on a mountain bike.,A woman posing by a pillar with a U2 sign.,0.0,0.0
A01_0317,dev,Omega_B,none,none,A woman equestrian riding a horse.,The woman is riding on the brown horse.,3.8,0.76
A01_0318,dev,Omega_C,none,none,Train going down the tracks.,A black steam train traveling on the railroad tracks.,3.8,0.76
A01_0319,dev,Omega_A,none,none,A white plane on the runway.,A white Swiss airplane approaches the runway.,4.0,0.8
A01_0320,dev,Omega_B,none,none,The white ducks are standing on the ground.,A woman in a black hat is standing by the subway.,0.0,0.0
